title,url
美 중소형銀 위기 틈타 애플 등판…금융시장 판 흔든다,https://v.daum.net/v/20230418174207951
"마크롱 ""분노 알지만 … 아무것도 안 할 순 없었다""",https://v.daum.net/v/20230418174205947
中 '지갑' 열렸다 … 식당 소비 14% 쑥,https://v.daum.net/v/20230418174200935
전세사기 피해자들 스러져가는데…尹대통령 “찾아가는 서비스 구축”,https://v.daum.net/v/20230418174302988
"예쁜 간호사에 짧은치마?…""이래서 간호법 필요해"" 분노",https://v.daum.net/v/20230418173732813
"'누리호' 성공 주역들인데…""야근 · 휴일수당 못 받아"" [D리포트]",https://v.daum.net/v/20230418162407319
"김진태 강원지사 ""19일 김교흥 민주당 행안위 간사 면담 예정""",https://v.daum.net/v/20230418173724810
[월가월부] 로블록스 또 폭락 … 진땀나는 메타버스게임 대장株,https://v.daum.net/v/20230418173603751
"유동규, 그림 그리며 '5천만원' 전달 증언…재판부 ""왜 준건지 명확히""",https://v.daum.net/v/20230418173407700
"송영길 '돈봉투 살포' 알았나…검찰, 宋 전 보좌관에 소환 통보(종합)",https://v.daum.net/v/20230418172930531
[단독]  2013~2015년 이재명 시장실 CCTV 관리 비서 “근무 중 단 한 차례도 확인한 적 없다”,https://v.daum.net/v/20230418171806145
3명 희생 있고서야 … 전세피해자 우선매수·정부매입 '뒷북검토',https://v.daum.net/v/20230418173009572
"""간호조무과 만들지 마"" 간호조무사 양성기관, 중재안에 뿔났다",https://v.daum.net/v/20230418170859856
[내일 날씨] 낮부터 기온 '따뜻'…최고기온 29도,https://v.daum.net/v/20230418172301335
"""한국 정치, '단독 과반수'의 환상에서 벗어나야""",https://v.daum.net/v/20230418171452047
"WP ""美 유출문건서 유엔 사무총장 도청 정황 추가 확인""",https://v.daum.net/v/20230418173440714
"민주, 총선서 '탈당자 명단' 공개한다…페널티에 역차별 불만도",https://v.daum.net/v/20230418173504727
"[사실은] 같은 보고서 놓고 민주당 vs 민주당, 누구 말 맞나?",https://v.daum.net/v/20230418142706977
"""190일 지각해도 출석 인정하는 학교 출결 규정 손봐야""",https://v.daum.net/v/20230418171042926
